,korea_cd91
2000-03-31,7.01
2000-06-30,7.18
2000-09-30,7.05
2000-12-31,6.88
2001-03-31,5.7
2001-06-30,5.57
2001-09-30,4.41
2001-12-31,4.86
2002-03-31,4.83
2002-06-30,4.91
2002-09-30,4.86
2002-12-31,4.9
2003-03-31,4.7
2003-06-30,4.3
2003-09-30,3.89
2003-12-31,4.36
2004-03-31,3.9
2004-06-30,3.93
2004-09-30,3.54
2004-12-31,3.43
2005-03-31,3.54
2005-06-30,3.54
2005-09-30,3.93
2005-12-31,4.09
2006-03-31,4.27
2006-06-30,4.59
2006-09-30,4.59
2006-12-31,4.86
2007-03-31,4.94
2007-06-30,5.0
2007-09-30,5.35
2007-12-31,5.82
2008-03-31,5.38
2008-06-30,5.37
2008-09-30,5.83
2008-12-31,3.93
2009-03-31,2.43
2009-06-30,2.41
2009-09-30,2.75
2009-12-31,2.86
2010-03-31,2.78
2010-06-30,2.46
2010-09-30,2.66
2010-12-31,2.8
2011-03-31,3.39
2011-06-30,3.57
2011-09-30,3.58
2011-12-31,3.55
2012-03-31,3.55
2012-06-30,3.54
2012-09-30,3.09
2012-12-31,2.89
2013-03-31,2.81
2013-06-30,2.69
2013-09-30,2.66
2013-12-31,2.66
2014-03-31,2.65
2014-06-30,2.65
2014-09-30,2.35
2014-12-31,2.13
2015-03-31,1.85
2015-06-30,1.65
2015-09-30,1.59
2015-12-31,1.67
2016-03-31,1.61
2016-06-30,1.37
2016-09-30,1.34
2016-12-31,1.52
2017-03-31,1.45
2017-06-30,1.38
2017-09-30,1.38
2017-12-31,1.66
2018-03-31,1.65
2018-06-30,1.65
2018-09-30,1.65
2018-12-31,1.93
2019-03-31,1.9
2019-06-30,1.78
2019-09-30,1.55
2019-12-31,1.53
2020-03-31,1.1
2020-06-30,0.79
2020-09-30,0.63
2020-12-31,0.66
2021-03-31,0.75
2021-06-30,0.68
2021-09-30,1.04
2021-12-31,1.29
2022-03-31,1.51
2022-06-30,2.04
2022-09-30,3.24
2022-12-31,3.98
2023-03-31,3.59
2023-06-30,3.75
2023-09-30,3.83
2023-12-31,3.83
2024-03-31,3.64
2024-06-30,3.6
2024-09-30,3.53
