DATE,treasury_3m
2000-03-31,5.88
2000-06-30,5.88
2000-09-30,6.23
2000-12-31,5.89
2001-03-31,4.30
2001-06-30,3.65
2001-09-30,2.40
2001-12-31,1.74
2002-03-31,1.79
2002-06-30,1.70
2002-09-30,1.57
2002-12-31,1.22
2003-03-31,1.14
2003-06-30,0.90
2003-09-30,0.95
2003-12-31,0.95
2004-03-31,0.95
2004-06-30,1.33
2004-09-30,1.71
2004-12-31,2.22
2005-03-31,2.79
2005-06-30,3.13
2005-09-30,3.55
2005-12-31,4.08
2006-03-31,4.63
2006-06-30,5.01
2006-09-30,4.89
2006-12-31,5.02
2007-03-31,5.04
2007-06-30,4.82
2007-09-30,3.82
2007-12-31,3.36
2008-03-31,1.38
2008-06-30,1.90
2008-09-30,0.92
2008-12-31,0.11
2009-03-31,0.21
2009-06-30,0.19
2009-09-30,0.14
2009-12-31,0.06
2010-03-31,0.16
2010-06-30,0.18
2010-09-30,0.16
2010-12-31,0.12
2011-03-31,0.09
2011-06-30,0.03
2011-09-30,0.02
2011-12-31,0.02
2012-03-31,0.07
2012-06-30,0.09
2012-09-30,0.10
2012-12-31,0.05
2013-03-31,0.07
2013-06-30,0.04
2013-09-30,0.02
2013-12-31,0.07
2014-03-31,0.05
2014-06-30,0.04
2014-09-30,0.02
2014-12-31,0.04
2015-03-31,0.03
2015-06-30,0.01
2015-09-30,0.00
2015-12-31,0.16
2016-03-31,0.21
2016-06-30,0.26
2016-09-30,0.29
2016-12-31,0.51
2017-03-31,0.76
2017-06-30,1.03
2017-09-30,1.06
2017-12-31,1.39
2018-03-31,1.73
2018-06-30,1.93
2018-09-30,2.19
2018-12-31,2.45
2019-03-31,2.40
2019-06-30,2.12
2019-09-30,1.88
2019-12-31,1.55
2020-03-31,0.11
2020-06-30,0.16
2020-09-30,0.10
2020-12-31,0.09
2021-03-31,0.03
2021-06-30,0.05
2021-09-30,0.04
2021-12-31,0.06
2022-03-31,0.52
2022-06-30,1.72
2022-09-30,3.33
2022-12-31,4.42
2023-03-31,4.85
2023-06-30,5.43
2023-09-30,5.55
2023-12-31,5.40
2024-03-31,5.46
2024-06-30,5.48
2024-09-30,4.97
