,usdkrw
2000-03-31,1106.0
2000-06-30,1115.0
2000-09-30,1115.0
2000-12-31,1264.5
2001-03-31,1327.5
2001-06-30,1297.5
2001-09-30,1309.6
2001-12-31,1313.5
2002-03-31,1325.9
2002-06-30,1201.3
2002-09-30,1227.8
2002-12-31,1186.2
2003-03-31,1254.6
2003-06-30,1193.0
2003-09-30,1150.1
2003-12-31,1192.6
2004-03-31,1146.6
2004-06-30,1155.5
2004-09-30,1151.8
2004-12-31,1035.1
2005-03-31,1015.5
2005-06-30,1025.4
2005-09-30,1041.1
2005-12-31,1011.6
2006-03-31,971.6
2006-06-30,948.9
2006-09-30,946.2
2006-12-31,929.8
2007-03-31,940.9
2007-06-30,923.8
2007-09-30,915.1
2007-12-31,936.1
2008-03-31,990.4
2008-06-30,1046.0
2008-09-30,1207
2008-12-31,1259.5
2009-03-31,1383.5
2009-06-30,1273.9
2009-09-30,1178.1
2009-12-31,1164.5
2010-03-31,1131.3
2010-06-30,1222.2
2010-09-30,1140.2
2010-12-31,1134.8
2011-03-31,1096.7
2011-06-30,1067.7
2011-09-30,1178.1
2011-12-31,1151.8
2012-03-31,1133
2012-06-30,1145.4
2012-09-30,1111.4
2012-12-31,1070.6
2013-03-31,1111.1
2013-06-30,1142
2013-09-30,1074.7
2013-12-31,1055.4
2014-03-31,1064.7
2014-06-30,1011.8
2014-09-30,1055.2
2014-12-31,1099.3
2015-03-31,1109.5
2015-06-30,1115.5
2015-09-30,1185.3
2015-12-31,1172.5
2016-03-31,1143.5
2016-06-30,1151.8
2016-09-30,1101.3
2016-12-31,1207.7
2017-03-31,1118.4
2017-06-30,1144.1
2017-09-30,1145.4
2017-12-31,1070.5
2018-03-31,1063.5
2018-06-30,1114.5
2018-09-30,1109.3
2018-12-31,1115.7
2019-03-31,1135.1
2019-06-30,1154.7
2019-09-30,1196.2
2019-12-31,1156.4
2020-03-31,1217.4
2020-06-30,1203
2020-09-30,1169.5
2020-12-31,1086.3
2021-03-31,1131.8
2021-06-30,1126.1
2021-09-30,1184
2021-12-31,1188.8
2022-03-31,1212.1
2022-06-30,1298.4
2022-09-30,1430.2
2022-12-31,1264.5
2023-03-31,1301.9
2023-06-30,1317.7
2023-09-30,1349.3
2023-12-31,1288.0
2024-03-31,1347.2
2024-06-30,1376.7
2024-09-30,1329.5
